Timestep, S, V, S+V, I+VI, R, I, VI
351, 0, 91440, 199981, 19, 108541, 0, 19
352, 0, 91439, 199989, 11, 108550, 0, 11
353, 0, 91437, 199992, 8, 108555, 0, 8
354, 0, 91435, 199995, 5, 108560, 0, 5
355, 0, 91434, 199995, 5, 108561, 0, 5
356, 0, 91434, 199997, 3, 108563, 0, 3
357, 0, 91434, 199999, 1, 108565, 0, 1
358, 0, 91434, 200000, 0, 108566, 0, 0
359, 0, 91434, 200000, 0, 108566, 0, 0
360, 0, 91434, 200000, 0, 108566, 0, 0
361, 0, 91434, 200000, 0, 108566, 0, 0
362, 0, 91434, 200000, 0, 108566, 0, 0
363, 0, 91434, 200000, 0, 108566, 0, 0
364, 0, 91434, 200000, 0, 108566, 0, 0
365, 0, 91434, 200000, 0, 108566, 0, 0
366, 0, 91434, 200000, 0, 108566, 0, 0
367, 0, 91434, 200000, 0, 108566, 0, 0
368, 0, 91434, 200000, 0, 108566, 0, 0
369, 0, 91434, 200000, 0, 108566, 0, 0
370, 0, 91434, 200000, 0, 108566, 0, 0
371, 0, 91434, 200000, 0, 108566, 0, 0
372, 0, 91434, 200000, 0, 108566, 0, 0
373, 0, 91434, 200000, 0, 108566, 0, 0
374, 0, 91434, 200000, 0, 108566, 0, 0
375, 0, 91434, 200000, 0, 108566, 0, 0
376, 0, 91434, 200000, 0, 108566, 0, 0
377, 0, 91434, 200000, 0, 108566, 0, 0
378, 0, 91434, 200000, 0, 108566, 0, 0
379, 0, 91434, 200000, 0, 108566, 0, 0
380, 0, 91434, 200000, 0, 108566, 0, 0
381, 0, 91434, 200000, 0, 108566, 0, 0
382, 0, 91434, 200000, 0, 108566, 0, 0
383, 0, 91434, 200000, 0, 108566, 0, 0
384, 0, 91434, 200000, 0, 108566, 0, 0
385, 0, 91434, 200000, 0, 108566, 0, 0
386, 0, 91434, 200000, 0, 108566, 0, 0
387, 0, 91434, 200000, 0, 108566, 0, 0
388, 0, 91434, 200000, 0, 108566, 0, 0
389, 0, 91434, 200000, 0, 108566, 0, 0
390, 0, 91434, 200000, 0, 108566, 0, 0
391, 0, 91434, 200000, 0, 108566, 0, 0
392, 0, 91434, 200000, 0, 108566, 0, 0
393, 0, 91434, 200000, 0, 108566, 0, 0
394, 0, 91434, 200000, 0, 108566, 0, 0
395, 0, 91434, 200000, 0, 108566, 0, 0
396, 0, 91434, 200000, 0, 108566, 0, 0
397, 0, 91434, 200000, 0, 108566, 0, 0
398, 0, 91434, 200000, 0, 108566, 0, 0
399, 0, 91434, 200000, 0, 108566, 0, 0
400, 0, 91434, 200000, 0, 108566, 0, 0
