Timestep, S, V, S+V, I+VI, R, I, VI
227, 117639, 70005, 200000, 0, 12356, 0, 0
228, 117239, 70405, 200000, 0, 12356, 0, 0
229, 116839, 70805, 200000, 0, 12356, 0, 0
230, 116439, 71205, 200000, 0, 12356, 0, 0
231, 116039, 71605, 200000, 0, 12356, 0, 0
232, 115639, 72005, 200000, 0, 12356, 0, 0
233, 115239, 72405, 200000, 0, 12356, 0, 0
234, 114839, 72805, 200000, 0, 12356, 0, 0
235, 114439, 73205, 200000, 0, 12356, 0, 0
236, 114039, 73605, 200000, 0, 12356, 0, 0
237, 113639, 74005, 200000, 0, 12356, 0, 0
238, 113239, 74405, 200000, 0, 12356, 0, 0
239, 112839, 74805, 200000, 0, 12356, 0, 0
240, 112439, 75205, 200000, 0, 12356, 0, 0
241, 112039, 75605, 200000, 0, 12356, 0, 0
242, 111639, 76005, 200000, 0, 12356, 0, 0
243, 111239, 76405, 200000, 0, 12356, 0, 0
244, 110839, 76805, 200000, 0, 12356, 0, 0
245, 110439, 77205, 200000, 0, 12356, 0, 0
246, 110039, 77605, 200000, 0, 12356, 0, 0
247, 109639, 78005, 200000, 0, 12356, 0, 0
248, 109239, 78405, 200000, 0, 12356, 0, 0
249, 108839, 78805, 200000, 0, 12356, 0, 0
250, 108439, 79205, 200000, 0, 12356, 0, 0
251, 108039, 79605, 200000, 0, 12356, 0, 0
252, 107639, 80005, 200000, 0, 12356, 0, 0
253, 107239, 80405, 200000, 0, 12356, 0, 0
254, 106839, 80805, 200000, 0, 12356, 0, 0
255, 106439, 81205, 200000, 0, 12356, 0, 0
256, 106039, 81605, 200000, 0, 12356, 0, 0
257, 105639, 82005, 200000, 0, 12356, 0, 0
258, 105239, 82405, 200000, 0, 12356, 0, 0
259, 104839, 82805, 200000, 0, 12356, 0, 0
260, 104439, 83205, 200000, 0, 12356, 0, 0
261, 104039, 83605, 200000, 0, 12356, 0, 0
262, 103639, 84005, 200000, 0, 12356, 0, 0
263, 103239, 84405, 200000, 0, 12356, 0, 0
264, 102839, 84805, 200000, 0, 12356, 0, 0
265, 102439, 85205, 200000, 0, 12356, 0, 0
266, 102039, 85605, 200000, 0, 12356, 0, 0
267, 101639, 86005, 200000, 0, 12356, 0, 0
268, 101239, 86405, 200000, 0, 12356, 0, 0
269, 100839, 86805, 200000, 0, 12356, 0, 0
270, 100439, 87205, 200000, 0, 12356, 0, 0
271, 100039, 87605, 200000, 0, 12356, 0, 0
272, 99639, 88005, 200000, 0, 12356, 0, 0
273, 99239, 88405, 200000, 0, 12356, 0, 0
274, 98839, 88805, 200000, 0, 12356, 0, 0
275, 98439, 89205, 200000, 0, 12356, 0, 0
276, 98039, 89605, 200000, 0, 12356, 0, 0
277, 97639, 90005, 200000, 0, 12356, 0, 0
278, 97239, 90405, 200000, 0, 12356, 0, 0
279, 96839, 90805, 200000, 0, 12356, 0, 0
280, 96439, 91205, 200000, 0, 12356, 0, 0
281, 96039, 91605, 200000, 0, 12356, 0, 0
282, 95639, 92005, 200000, 0, 12356, 0, 0
283, 95239, 92405, 200000, 0, 12356, 0, 0
284, 94839, 92805, 200000, 0, 12356, 0, 0
285, 94439, 93205, 200000, 0, 12356, 0, 0
286, 94039, 93605, 200000, 0, 12356, 0, 0
287, 93639, 94005, 200000, 0, 12356, 0, 0
288, 93239, 94405, 200000, 0, 12356, 0, 0
289, 92839, 94805, 200000, 0, 12356, 0, 0
290, 92439, 95205, 200000, 0, 12356, 0, 0
291, 92039, 95605, 200000, 0, 12356, 0, 0
292, 91639, 96005, 200000, 0, 12356, 0, 0
293, 91239, 96405, 200000, 0, 12356, 0, 0
294, 90839, 96805, 200000, 0, 12356, 0, 0
295, 90439, 97205, 200000, 0, 12356, 0, 0
296, 90039, 97605, 200000, 0, 12356, 0, 0
297, 89639, 98005, 200000, 0, 12356, 0, 0
298, 89239, 98405, 200000, 0, 12356, 0, 0
299, 88839, 98805, 200000, 0, 12356, 0, 0
300, 88439, 99205, 200000, 0, 12356, 0, 0
301, 88039, 99605, 200000, 0, 12356, 0, 0
302, 87639, 100005, 200000, 0, 12356, 0, 0
303, 87239, 100405, 200000, 0, 12356, 0, 0
304, 86839, 100805, 200000, 0, 12356, 0, 0
305, 86439, 101205, 200000, 0, 12356, 0, 0
306, 86039, 101605, 200000, 0, 12356, 0, 0
307, 85639, 102005, 200000, 0, 12356, 0, 0
308, 85239, 102405, 200000, 0, 12356, 0, 0
309, 84839, 102805, 200000, 0, 12356, 0, 0
310, 84439, 103205, 200000, 0, 12356, 0, 0
311, 84039, 103605, 200000, 0, 12356, 0, 0
312, 83639, 104005, 200000, 0, 12356, 0, 0
313, 83239, 104405, 200000, 0, 12356, 0, 0
314, 82839, 104805, 200000, 0, 12356, 0, 0
315, 82439, 105205, 200000, 0, 12356, 0, 0
316, 82039, 105605, 200000, 0, 12356, 0, 0
317, 81639, 106005, 200000, 0, 12356, 0, 0
318, 81239, 106405, 200000, 0, 12356, 0, 0
319, 80839, 106805, 200000, 0, 12356, 0, 0
320, 80439, 107205, 200000, 0, 12356, 0, 0
321, 80039, 107605, 200000, 0, 12356, 0, 0
322, 79639, 108005, 200000, 0, 12356, 0, 0
323, 79239, 108405, 200000, 0, 12356, 0, 0
324, 78839, 108805, 200000, 0, 12356, 0, 0
325, 78439, 109205, 200000, 0, 12356, 0, 0
326, 78039, 109605, 200000, 0, 12356, 0, 0
327, 77639, 110005, 200000, 0, 12356, 0, 0
328, 77239, 110405, 200000, 0, 12356, 0, 0
329, 76839, 110805, 200000, 0, 12356, 0, 0
330, 76439, 111205, 200000, 0, 12356, 0, 0
331, 76039, 111605, 200000, 0, 12356, 0, 0
332, 75639, 112005, 200000, 0, 12356, 0, 0
333, 75239, 112405, 200000, 0, 12356, 0, 0
334, 74839, 112805, 200000, 0, 12356, 0, 0
335, 74439, 113205, 200000, 0, 12356, 0, 0
336, 74039, 113605, 200000, 0, 12356, 0, 0
337, 73639, 114005, 200000, 0, 12356, 0, 0
338, 73239, 114405, 200000, 0, 12356, 0, 0
339, 72839, 114805, 200000, 0, 12356, 0, 0
340, 72439, 115205, 200000, 0, 12356, 0, 0
341, 72039, 115605, 200000, 0, 12356, 0, 0
342, 71639, 116005, 200000, 0, 12356, 0, 0
343, 71239, 116405, 200000, 0, 12356, 0, 0
344, 70839, 116805, 200000, 0, 12356, 0, 0
345, 70439, 117205, 200000, 0, 12356, 0, 0
346, 70039, 117605, 200000, 0, 12356, 0, 0
347, 69639, 118005, 200000, 0, 12356, 0, 0
