Timestep, S, V, S+V, I+VI, R, I, VI
181, 143233, 52307, 199998, 2, 4458, 2, 0
182, 142833, 52707, 199999, 1, 4459, 1, 0
183, 142433, 53107, 199999, 1, 4459, 1, 0
184, 142033, 53507, 200000, 0, 4460, 0, 0
185, 141633, 53907, 200000, 0, 4460, 0, 0
186, 141233, 54307, 200000, 0, 4460, 0, 0
187, 140833, 54707, 200000, 0, 4460, 0, 0
188, 140433, 55107, 200000, 0, 4460, 0, 0
189, 140033, 55507, 200000, 0, 4460, 0, 0
190, 139633, 55907, 200000, 0, 4460, 0, 0
191, 139233, 56307, 200000, 0, 4460, 0, 0
192, 138833, 56707, 200000, 0, 4460, 0, 0
193, 138433, 57107, 200000, 0, 4460, 0, 0
194, 138033, 57507, 200000, 0, 4460, 0, 0
195, 137633, 57907, 200000, 0, 4460, 0, 0
196, 137233, 58307, 200000, 0, 4460, 0, 0
197, 136833, 58707, 200000, 0, 4460, 0, 0
198, 136433, 59107, 200000, 0, 4460, 0, 0
199, 136033, 59507, 200000, 0, 4460, 0, 0
200, 135633, 59907, 200000, 0, 4460, 0, 0
201, 135233, 60307, 200000, 0, 4460, 0, 0
202, 134833, 60707, 200000, 0, 4460, 0, 0
203, 134433, 61107, 200000, 0, 4460, 0, 0
204, 134033, 61507, 200000, 0, 4460, 0, 0
205, 133633, 61907, 200000, 0, 4460, 0, 0
206, 133233, 62307, 200000, 0, 4460, 0, 0
207, 132833, 62707, 200000, 0, 4460, 0, 0
208, 132433, 63107, 200000, 0, 4460, 0, 0
209, 132033, 63507, 200000, 0, 4460, 0, 0
210, 131633, 63907, 200000, 0, 4460, 0, 0
211, 131233, 64307, 200000, 0, 4460, 0, 0
212, 130833, 64707, 200000, 0, 4460, 0, 0
213, 130433, 65107, 200000, 0, 4460, 0, 0
214, 130033, 65507, 200000, 0, 4460, 0, 0
215, 129633, 65907, 200000, 0, 4460, 0, 0
216, 129233, 66307, 200000, 0, 4460, 0, 0
217, 128833, 66707, 200000, 0, 4460, 0, 0
218, 128433, 67107, 200000, 0, 4460, 0, 0
219, 128033, 67507, 200000, 0, 4460, 0, 0
220, 127633, 67907, 200000, 0, 4460, 0, 0
221, 127233, 68307, 200000, 0, 4460, 0, 0
222, 126833, 68707, 200000, 0, 4460, 0, 0
223, 126433, 69107, 200000, 0, 4460, 0, 0
224, 126033, 69507, 200000, 0, 4460, 0, 0
225, 125633, 69907, 200000, 0, 4460, 0, 0
226, 125233, 70307, 200000, 0, 4460, 0, 0
227, 124833, 70707, 200000, 0, 4460, 0, 0
228, 124433, 71107, 200000, 0, 4460, 0, 0
229, 124033, 71507, 200000, 0, 4460, 0, 0
230, 123633, 71907, 200000, 0, 4460, 0, 0
231, 123233, 72307, 200000, 0, 4460, 0, 0
232, 122833, 72707, 200000, 0, 4460, 0, 0
233, 122433, 73107, 200000, 0, 4460, 0, 0
234, 122033, 73507, 200000, 0, 4460, 0, 0
235, 121633, 73907, 200000, 0, 4460, 0, 0
236, 121233, 74307, 200000, 0, 4460, 0, 0
237, 120833, 74707, 200000, 0, 4460, 0, 0
238, 120433, 75107, 200000, 0, 4460, 0, 0
239, 120033, 75507, 200000, 0, 4460, 0, 0
240, 119633, 75907, 200000, 0, 4460, 0, 0
241, 119233, 76307, 200000, 0, 4460, 0, 0
242, 118833, 76707, 200000, 0, 4460, 0, 0
243, 118433, 77107, 200000, 0, 4460, 0, 0
244, 118033, 77507, 200000, 0, 4460, 0, 0
245, 117633, 77907, 200000, 0, 4460, 0, 0
246, 117233, 78307, 200000, 0, 4460, 0, 0
247, 116833, 78707, 200000, 0, 4460, 0, 0
248, 116433, 79107, 200000, 0, 4460, 0, 0
249, 116033, 79507, 200000, 0, 4460, 0, 0
250, 115633, 79907, 200000, 0, 4460, 0, 0
251, 115233, 80307, 200000, 0, 4460, 0, 0
252, 114833, 80707, 200000, 0, 4460, 0, 0
253, 114433, 81107, 200000, 0, 4460, 0, 0
254, 114033, 81507, 200000, 0, 4460, 0, 0
255, 113633, 81907, 200000, 0, 4460, 0, 0
256, 113233, 82307, 200000, 0, 4460, 0, 0
257, 112833, 82707, 200000, 0, 4460, 0, 0
258, 112433, 83107, 200000, 0, 4460, 0, 0
259, 112033, 83507, 200000, 0, 4460, 0, 0
260, 111633, 83907, 200000, 0, 4460, 0, 0
261, 111233, 84307, 200000, 0, 4460, 0, 0
262, 110833, 84707, 200000, 0, 4460, 0, 0
263, 110433, 85107, 200000, 0, 4460, 0, 0
264, 110033, 85507, 200000, 0, 4460, 0, 0
265, 109633, 85907, 200000, 0, 4460, 0, 0
266, 109233, 86307, 200000, 0, 4460, 0, 0
267, 108833, 86707, 200000, 0, 4460, 0, 0
268, 108433, 87107, 200000, 0, 4460, 0, 0
269, 108033, 87507, 200000, 0, 4460, 0, 0
270, 107633, 87907, 200000, 0, 4460, 0, 0
271, 107233, 88307, 200000, 0, 4460, 0, 0
272, 106833, 88707, 200000, 0, 4460, 0, 0
273, 106433, 89107, 200000, 0, 4460, 0, 0
274, 106033, 89507, 200000, 0, 4460, 0, 0
275, 105633, 89907, 200000, 0, 4460, 0, 0
276, 105233, 90307, 200000, 0, 4460, 0, 0
277, 104833, 90707, 200000, 0, 4460, 0, 0
278, 104433, 91107, 200000, 0, 4460, 0, 0
279, 104033, 91507, 200000, 0, 4460, 0, 0
280, 103633, 91907, 200000, 0, 4460, 0, 0
281, 103233, 92307, 200000, 0, 4460, 0, 0
282, 102833, 92707, 200000, 0, 4460, 0, 0
283, 102433, 93107, 200000, 0, 4460, 0, 0
284, 102033, 93507, 200000, 0, 4460, 0, 0
285, 101633, 93907, 200000, 0, 4460, 0, 0
286, 101233, 94307, 200000, 0, 4460, 0, 0
287, 100833, 94707, 200000, 0, 4460, 0, 0
288, 100433, 95107, 200000, 0, 4460, 0, 0
289, 100033, 95507, 200000, 0, 4460, 0, 0
290, 99633, 95907, 200000, 0, 4460, 0, 0
291, 99233, 96307, 200000, 0, 4460, 0, 0
292, 98833, 96707, 200000, 0, 4460, 0, 0
293, 98433, 97107, 200000, 0, 4460, 0, 0
294, 98033, 97507, 200000, 0, 4460, 0, 0
295, 97633, 97907, 200000, 0, 4460, 0, 0
296, 97233, 98307, 200000, 0, 4460, 0, 0
297, 96833, 98707, 200000, 0, 4460, 0, 0
298, 96433, 99107, 200000, 0, 4460, 0, 0
299, 96033, 99507, 200000, 0, 4460, 0, 0
300, 95633, 99907, 200000, 0, 4460, 0, 0
301, 95233, 100307, 200000, 0, 4460, 0, 0
302, 94833, 100707, 200000, 0, 4460, 0, 0
303, 94433, 101107, 200000, 0, 4460, 0, 0
304, 94033, 101507, 200000, 0, 4460, 0, 0
305, 93633, 101907, 200000, 0, 4460, 0, 0
306, 93233, 102307, 200000, 0, 4460, 0, 0
307, 92833, 102707, 200000, 0, 4460, 0, 0
308, 92433, 103107, 200000, 0, 4460, 0, 0
309, 92033, 103507, 200000, 0, 4460, 0, 0
310, 91633, 103907, 200000, 0, 4460, 0, 0
311, 91233, 104307, 200000, 0, 4460, 0, 0
312, 90833, 104707, 200000, 0, 4460, 0, 0
313, 90433, 105107, 200000, 0, 4460, 0, 0
314, 90033, 105507, 200000, 0, 4460, 0, 0
315, 89633, 105907, 200000, 0, 4460, 0, 0
316, 89233, 106307, 200000, 0, 4460, 0, 0
317, 88833, 106707, 200000, 0, 4460, 0, 0
318, 88433, 107107, 200000, 0, 4460, 0, 0
319, 88033, 107507, 200000, 0, 4460, 0, 0
320, 87633, 107907, 200000, 0, 4460, 0, 0
321, 87233, 108307, 200000, 0, 4460, 0, 0
322, 86833, 108707, 200000, 0, 4460, 0, 0
323, 86433, 109107, 200000, 0, 4460, 0, 0
324, 86033, 109507, 200000, 0, 4460, 0, 0
325, 85633, 109907, 200000, 0, 4460, 0, 0
326, 85233, 110307, 200000, 0, 4460, 0, 0
327, 84833, 110707, 200000, 0, 4460, 0, 0
328, 84433, 111107, 200000, 0, 4460, 0, 0
329, 84033, 111507, 200000, 0, 4460, 0, 0
330, 83633, 111907, 200000, 0, 4460, 0, 0
331, 83233, 112307, 200000, 0, 4460, 0, 0
332, 82833, 112707, 200000, 0, 4460, 0, 0
333, 82433, 113107, 200000, 0, 4460, 0, 0
334, 82033, 113507, 200000, 0, 4460, 0, 0
335, 81633, 113907, 200000, 0, 4460, 0, 0
336, 81233, 114307, 200000, 0, 4460, 0, 0
337, 80833, 114707, 200000, 0, 4460, 0, 0
338, 80433, 115107, 200000, 0, 4460, 0, 0
339, 80033, 115507, 200000, 0, 4460, 0, 0
340, 79633, 115907, 200000, 0, 4460, 0, 0
341, 79233, 116307, 200000, 0, 4460, 0, 0
342, 78833, 116707, 200000, 0, 4460, 0, 0
343, 78433, 117107, 200000, 0, 4460, 0, 0
344, 78033, 117507, 200000, 0, 4460, 0, 0
345, 77633, 117907, 200000, 0, 4460, 0, 0
346, 77233, 118307, 200000, 0, 4460, 0, 0
347, 76833, 118707, 200000, 0, 4460, 0, 0
348, 76433, 119107, 200000, 0, 4460, 0, 0
349, 76033, 119507, 200000, 0, 4460, 0, 0
350, 75633, 119907, 200000, 0, 4460, 0, 0
351, 75233, 120307, 200000, 0, 4460, 0, 0
352, 74833, 120707, 200000, 0, 4460, 0, 0
353, 74433, 121107, 200000, 0, 4460, 0, 0
354, 74033, 121507, 200000, 0, 4460, 0, 0
355, 73633, 121907, 200000, 0, 4460, 0, 0
356, 73233, 122307, 200000, 0, 4460, 0, 0
357, 72833, 122707, 200000, 0, 4460, 0, 0
358, 72433, 123107, 200000, 0, 4460, 0, 0
359, 72033, 123507, 200000, 0, 4460, 0, 0
360, 71633, 123907, 200000, 0, 4460, 0, 0
361, 71233, 124307, 200000, 0, 4460, 0, 0
362, 70833, 124707, 200000, 0, 4460, 0, 0
363, 70433, 125107, 200000, 0, 4460, 0, 0
364, 70033, 125507, 200000, 0, 4460, 0, 0
365, 69633, 125907, 200000, 0, 4460, 0, 0
366, 69233, 126307, 200000, 0, 4460, 0, 0
367, 68833, 126707, 200000, 0, 4460, 0, 0
368, 68433, 127107, 200000, 0, 4460, 0, 0
369, 68033, 127507, 200000, 0, 4460, 0, 0
370, 67633, 127907, 200000, 0, 4460, 0, 0
371, 67233, 128307, 200000, 0, 4460, 0, 0
372, 66833, 128707, 200000, 0, 4460, 0, 0
373, 66433, 129107, 200000, 0, 4460, 0, 0
374, 66033, 129507, 200000, 0, 4460, 0, 0
375, 65633, 129907, 200000, 0, 4460, 0, 0
376, 65233, 130307, 200000, 0, 4460, 0, 0
377, 64833, 130707, 200000, 0, 4460, 0, 0
378, 64433, 131107, 200000, 0, 4460, 0, 0
379, 64033, 131507, 200000, 0, 4460, 0, 0
380, 63633, 131907, 200000, 0, 4460, 0, 0
381, 63233, 132307, 200000, 0, 4460, 0, 0
382, 62833, 132707, 200000, 0, 4460, 0, 0
383, 62433, 133107, 200000, 0, 4460, 0, 0
384, 62033, 133507, 200000, 0, 4460, 0, 0
385, 61633, 133907, 200000, 0, 4460, 0, 0
386, 61233, 134307, 200000, 0, 4460, 0, 0
387, 60833, 134707, 200000, 0, 4460, 0, 0
388, 60433, 135107, 200000, 0, 4460, 0, 0
389, 60033, 135507, 200000, 0, 4460, 0, 0
390, 59633, 135907, 200000, 0, 4460, 0, 0
391, 59233, 136307, 200000, 0, 4460, 0, 0
392, 58833, 136707, 200000, 0, 4460, 0, 0
393, 58433, 137107, 200000, 0, 4460, 0, 0
394, 58033, 137507, 200000, 0, 4460, 0, 0
395, 57633, 137907, 200000, 0, 4460, 0, 0
396, 57233, 138307, 200000, 0, 4460, 0, 0
397, 56833, 138707, 200000, 0, 4460, 0, 0
398, 56433, 139107, 200000, 0, 4460, 0, 0
399, 56033, 139507, 200000, 0, 4460, 0, 0
400, 55633, 139907, 200000, 0, 4460, 0, 0
