Timestep, S, V, S+V, I+VI, R, I, VI
223, 99742, 68482, 200000, 0, 31776, 0, 0
224, 99343, 68881, 200000, 0, 31776, 0, 0
225, 98944, 69280, 200000, 0, 31776, 0, 0
226, 98545, 69679, 200000, 0, 31776, 0, 0
227, 98145, 70079, 200000, 0, 31776, 0, 0
228, 97745, 70479, 200000, 0, 31776, 0, 0
229, 97348, 70876, 200000, 0, 31776, 0, 0
230, 96949, 71275, 200000, 0, 31776, 0, 0
231, 96550, 71674, 200000, 0, 31776, 0, 0
232, 96151, 72073, 200000, 0, 31776, 0, 0
233, 95752, 72472, 200000, 0, 31776, 0, 0
234, 95352, 72872, 200000, 0, 31776, 0, 0
235, 94955, 73269, 200000, 0, 31776, 0, 0
236, 94557, 73667, 200000, 0, 31776, 0, 0
237, 94158, 74066, 200000, 0, 31776, 0, 0
238, 93758, 74466, 200000, 0, 31776, 0, 0
239, 93358, 74866, 200000, 0, 31776, 0, 0
240, 92958, 75266, 200000, 0, 31776, 0, 0
241, 92558, 75666, 200000, 0, 31776, 0, 0
242, 92160, 76064, 200000, 0, 31776, 0, 0
243, 91761, 76463, 200000, 0, 31776, 0, 0
244, 91361, 76863, 200000, 0, 31776, 0, 0
245, 90962, 77262, 200000, 0, 31776, 0, 0
246, 90563, 77661, 200000, 0, 31776, 0, 0
247, 90163, 78061, 200000, 0, 31776, 0, 0
248, 89765, 78459, 200000, 0, 31776, 0, 0
249, 89365, 78859, 200000, 0, 31776, 0, 0
250, 88965, 79259, 200000, 0, 31776, 0, 0
251, 88567, 79657, 200000, 0, 31776, 0, 0
252, 88168, 80056, 200000, 0, 31776, 0, 0
253, 87769, 80455, 200000, 0, 31776, 0, 0
254, 87369, 80855, 200000, 0, 31776, 0, 0
255, 86971, 81253, 200000, 0, 31776, 0, 0
256, 86571, 81653, 200000, 0, 31776, 0, 0
257, 86171, 82053, 200000, 0, 31776, 0, 0
258, 85771, 82453, 200000, 0, 31776, 0, 0
259, 85371, 82853, 200000, 0, 31776, 0, 0
260, 84973, 83251, 200000, 0, 31776, 0, 0
261, 84573, 83651, 200000, 0, 31776, 0, 0
262, 84174, 84050, 200000, 0, 31776, 0, 0
263, 83774, 84450, 200000, 0, 31776, 0, 0
264, 83374, 84850, 200000, 0, 31776, 0, 0
265, 82974, 85250, 200000, 0, 31776, 0, 0
266, 82575, 85649, 200000, 0, 31776, 0, 0
267, 82175, 86049, 200000, 0, 31776, 0, 0
268, 81775, 86449, 200000, 0, 31776, 0, 0
269, 81376, 86848, 200000, 0, 31776, 0, 0
270, 80977, 87247, 200000, 0, 31776, 0, 0
